34;12.05.12 09:00;Nagoya Grampus Eight;2;0.87;Urawa Red Diamonds;1;-0.11;2.0;1;1;0;49 %;27 %;24 %;g_1_KrWnFwlp
35;12.05.12 08:00;Shimizu S-Pulse;-1.25;-0.55;Kawasaki Frontale;1;0.73;-3.5;2;1;3;17 %;22 %;62 %;g_1_0fJEXo4B
36;12.05.12 08:00;FC Tokyo;1.6;0.65;Jubilo Iwata;0.2;-0.25;2.3;1;1;0;52 %;26 %;22 %;g_1_WKEAYRl5
37;12.05.12 17:00;FK Panevezys;-1.25;-0.32;FK Palanga;-3.5;-1.27;3.2;1;3;1;59 %;23 %;18 %;g_1_UD7cQMlC
38;12.05.12 18:00;Zimbru Chisinau;-1;-0.59;Sheriff Tiraspol;2.5;1.27;-5.4;2;0;3;8 %;15 %;77 %;g_1_lInDdOOC
39;12.05.12 02:10;Cerro Porteno;1.2;1.24;Deportivo Santani;-0.9;-0.67;4.0;1;2;0;66 %;20 %;14 %;g_1_hfLGj0n4
40;12.05.12 15:00;TSV Havelse;0.13;0.52;Lupo Martini Wolfsburg;-1.44;-1.56;3.7;1;2;0;63 %;21 %;16 %;g_1_zRrjlkn9
41;12.05.12 16:00;VfL Oldenburg;-0.06;-1.95;Werder Bremen II;0.19;-0.08;-2.1;2;1;2;23 %;27 %;50 %;g_1_QFy3omWR
42;12.05.12 15:00;TSG 1899 Hoffenheim II;0.13;-1.56;1. FC Saarbrucken;0.63;-0.01;-2.1;2;1;2;23 %;27 %;50 %;g_1_fRZEs1yU
43;12.05.12 14:45;FC Fredericia;-0.33;-0.06;Thisted FC;-0.8;-1.55;2.0;1;2;1;49 %;27 %;24 %;g_1_McXRig7D
44;12.05.12 10:00;Tochigi SC;-0.67;-0.92;Ventforet Kofu;0.67;-0.07;-2.2;2;0;1;23 %;26 %;51 %;g_1_hY3fLF94
45;12.05.12 15:00;Mathare United FC;0.64;0.81;Mount Kenya;-1.31;-1.17;3.9;1;3;1;65 %;20 %;15 %;g_1_zccWxyGr
46;12.05.12 16:00;Strommen IF;0;-1.11;Aalesund FK;0.67;0.48;-2.3;2;0;1;22 %;26 %;52 %;g_1_WvPrZYAH
47;12.05.12 13:15;FC Porto B;0.81;-0.32;SC de Braga B;-0.81;-0.82;2.1;1;2;1;50 %;27 %;23 %;g_1_rFYEVRpJ
48;12.05.12 13:15;FC Famalicao;1.06;2.31;UD Oliveirense;-0.69;0.54;3.5;1;2;0;62 %;22 %;17 %;g_1_bRW2YT00
49;12.05.12 16:30;Hatayspor;1.19;1.97;Giresunspor;-0.31;-0.35;3.8;1;2;0;64 %;21 %;15 %;g_1_SGkMpIAm
50;12.05.12 16:30;Denizlispor;0.94;1.54;Kardemir DC Karabukspor;-3.75;-2.63;8.9;1;4;0;82 %;13 %;5 %;g_1_8W8kjvmQ
51;12.05.12 16:30;Altinordu FK;0.75;0.44;Boluspor;-0.25;-0.59;2.0;1;2;1;49 %;27 %;24 %;g_1_MwkQqxQg
