1;10.05;AS de Saint Etienne;1.06;1.09;Montpellier Herault SC;0;0.64;1.5;10;2;1;45 %;29 %;26 %
2;10.05;Standard de Liege;0.88;-0.57;KAA Gent;-0.06;-0.16;0.5;10;2;2;37 %;32 %;31 %
3;10.05;Odense Boldklub;0.69;0.22;Esbjerg FB;-0.44;0.29;1.1;10;1;0;42 %;30 %;28 %
4;10.05;HNK Hajduk Split;0.69;0.19;NK Slaven Belupo;-0.44;0.53;0.8;10;2;2;40 %;31 %;29 %
5;10.05;HNK Gorica;-0.06;0.37;Istra 1961 Pula;-0.75;-1.97;3.0;1;2;0;58 %;24 %;19 %
6;10.05;Bohemians Dublin;0.71;0.5;Dundalk FC;0.71;1.55;-1.1;02;1;2;28 %;30 %;42 %
7;10.05;Cork City;-0.29;-0.43;UC Dublin;-2.14;-2.46;3.9;1;2;0;65 %;20 %;15 %
8;10.05;Derry City;0.43;0.46;St. Patrick s Athletic;-0.14;-0.68;1.7;1;1;0;47 %;28 %;25 %
9;10.05;CD Aves;-0.13;0.48;Moreirense FC;-0.31;-0.91;1.6;1;2;1;46 %;28 %;26 %
10;10.05;Anzhi Makhachkala;-1.08;-1.41;Arsenal Tula;-0.69;1.4;-3.2;2;0;2;18 %;23 %;59 %
11;10.05;Lokomotiv Moskva;0.62;0.19;FK Rubin Kazan;-0.38;0.16;1.0;10;1;0;41 %;31 %;28 %
12;10.05;FC Orenburg;0.31;-0.42;Ural Sverdlovskaya;-1.08;-0.6;1.6;1;2;1;46 %;28 %;26 %
13;10.05;Dinamo Moskva;0.54;0.18;FC Rostov na Donu;-0.23;-0.55;1.5;10;1;0;45 %;29 %;26 %
14;10.05;Hammarby IF;1;0.26;IK Sirius Uppsala;0.33;-1.54;2.5;1;2;1;53 %;25 %;21 %
15;10.05;NK Rudar Velenje;-0.53;0.18;NK Aluminij Kidricevo;-0.93;-0.66;1.2;10;2;1;43 %;30 %;27 %
16;10.05;NK Domzale;1.07;1.33;ND Gorica;-0.73;0.07;3.1;1;3;1;58 %;23 %;19 %
17;10.05;Antalyaspor;-0.13;-0.78;Bursaspor;-0.6;-1.03;0.7;10;1;1;39 %;32 %;30 %
18;10.05;Granada 74 CF;0.76;0.36;CD Tenerife;-0.65;-0.44;2.2;1;2;1;51 %;26 %;23 %
