 1.;12.05.12 01:15;SD Aucas;0.17;-1.04;Independiente del Valle;0.5;0.77;-2.1;2;1;2;23 %;27 %;50 %;Myscore.ru/match/x2s8b3rn/
;Завершен;;;;;;;;;2;1;2.66;3.23;2.54;Winline.ru
 2.;12.05.12 02:10;Cerro Porteno;1.2;1.24;Deportivo Santani;-0.9;-0.67;4.0;1;2;0;66 %;20 %;14 %;Myscore.ru/match/hfLGj0n4/
;Завершен;;;;;;;;;3;2;1.51;4.08;5.17;Winline.ru
 3.;12.05.12 02:30;New England Revolution;-1.17;-2.13;San Jose Earthquakes;-1;0.8;-3.1;2;1;3;19 %;23 %;58 %;Myscore.ru/match/th7MLChE/
;Завершен;;;;;;;;;3;1;1.98;3.92;3.44;Winline.ru
 4.;12.05.12 02:30;Columbus Crew;0.43;-0.55;Los Angeles FC;1.6;0.74;-2.5;2;1;2;21 %;25 %;53 %;Myscore.ru/match/SlJvcTFD/
;Завершен;;;;;;;;;0;3;3.21;3.65;2.16;Winline.ru
 5.;12.05.12 08:00;Shimizu S-Pulse;-1.25;-0.55;Kawasaki Frontale;1;0.73;-3.5;2;1;3;17 %;22 %;62 %;Myscore.ru/match/0fJEXo4B/
;Завершен;;;;;;;;;0;4;5.38;4.27;1.59;Winline.ru
 6.;12.05.12 08:00;FC Tokyo;1.6;0.65;Jubilo Iwata;0.2;-0.25;2.3;1;1;0;52 %;26 %;22 %;Myscore.ru/match/WKEAYRl5/
;Завершен;;;;;;;;;1;0;1.85;3.39;4.66;Winline.ru
 7.;12.05.12 09:00;Nagoya Grampus Eight;2;0.87;Urawa Red Diamonds;1;-0.11;2.0;1;1;0;49 %;27 %;24 %;Myscore.ru/match/KrWnFwlp/
;Завершен;;;;;;;;;2;0;2.06;3.60;3.49;Winline.ru
 8.;12.05.12 10:00;Tochigi SC;-0.67;-0.92;Ventforet Kofu;0.67;-0.07;-2.2;2;0;1;23 %;26 %;51 %;Myscore.ru/match/hY3fLF94/
;Завершен;;;;;;;;;1;0;6.45;3.57;1.63;Winline.ru
 9.;12.05.12 13:15;FC Porto B;0.81;-0.32;SC de Braga B;-0.81;-0.82;2.1;1;2;1;50 %;27 %;23 %;Myscore.ru/match/rFYEVRpJ/
;Завершен;;;;;;;;;0;1;2.09;3.26;3.17;Winline.ru
 10.;12.05.12 13:15;FC Famalicao;1.06;2.31;UD Oliveirense;-0.69;0.54;3.5;1;2;0;62 %;22 %;17 %;Myscore.ru/match/bRW2YT00/
;Завершен;;;;;;;;;3;2;1.65;3.64;4.58;Winline.ru
 11.;12.05.12 14:00;Piast Gliwice;1.35;1.88;Jagiellonia Bialystok;0.35;0.53;2.4;1;2;1;53 %;26 %;22 %;Myscore.ru/match/0z3l8mdL/
;Завершен;;;;;;;;;2;1;1.75;3.77;4.69;Winline.ru
 12.;12.05.12 14:45;FC Fredericia;-0.33;-0.06;Thisted FC;-0.8;-1.55;2.0;1;2;1;49 %;27 %;24 %;Myscore.ru/match/McXRig7D/
;Завершен;;;;;;;;;2;1;1.60;4.12;4.75;Winline.ru
 13.;12.05.12 15:00;TSV Havelse;0.13;0.52;Lupo Martini Wolfsburg;-1.44;-1.56;3.7;1;2;0;63 %;21 %;16 %;Myscore.ru/match/zRrjlkn9/
;Завершен;;;;;;;;;2;1;1.29;5.07;7.89;Winline.ru
 14.;12.05.12 15:00;TSG 1899 Hoffenheim II;0.13;-1.56;1. FC Saarbrucken;0.63;-0.01;-2.1;2;1;2;23 %;27 %;50 %;Myscore.ru/match/fRZEs1yU/
;Завершен;;;;;;;;;0;3;3.86;4.20;1.72;Winline.ru
 15.;12.05.12 15:00;Mathare United FC;0.64;0.81;Mount Kenya;-1.31;-1.17;3.9;1;3;1;65 %;20 %;15 %;Myscore.ru/match/zccWxyGr/
;Тех. поражение;;;;;;;;;2;0;1.31;5.06;7.32;Winline.ru
 16.;12.05.12 15:30;BV Vitesse Arnhem;0.94;1.26;De Graafschap;-1.81;-0.55;4.6;1;3;1;71 %;18 %;12 %;Myscore.ru/match/trrhuT3R/
;Завершен;;;;;;;;;6;1;1.39;5.14;6.54;Winline.ru
