 17.;12.05.12 15:30;SC Heerenveen;-0.56;-1.03;NAC Breda;-2;-1.56;2.0;1;2;1;49 %;27 %;24 %;Myscore.ru/match/IZRhMmck/
;Завершен;;;;;;;;;2;1;1.69;4.34;4.37;Winline.ru
 18.;12.05.12 15:30;Ajax Amsterdam;3.38;2.09;FC Utrecht;-0.13;-1.2;6.8;1;4;1;82 %;13 %;5 %;Myscore.ru/match/YHvpskZE/
;Завершен;;;;;;;;;4;1;1.13;9.01;15.00;Winline.ru
 19.;12.05.12 15:30;Feyenoord Rotterdam;1.81;1.95;ADO Den Haag;-0.5;1.52;2.7;1;2;1;55 %;25 %;20 %;Myscore.ru/match/pdbkL7Ce/
;Завершен;;;;;;;;;0;2;1.15;8.52;14.00;Winline.ru
 20.;12.05.12 15:30;Heracles Almelo;0.69;0.25;Excelsior Rotterdam;-1.56;-1.23;3.7;1;3;1;63 %;21 %;16 %;Myscore.ru/match/C8wlt9lL/
;Завершен;;;;;;;;;4;5;2.09;3.88;3.19;Winline.ru
 21.;12.05.12 15:30;FC Groningen;0.44;-0.34;Fortuna Sittard;-1.94;-1.33;3.4;1;3;1;61 %;22 %;17 %;Myscore.ru/match/riUJzmCr/
;Завершен;;;;;;;;;3;0;1.44;4.76;6.20;Winline.ru
 22.;12.05.12 16:00;VfL Oldenburg;-0.06;-1.95;Werder Bremen II;0.19;-0.08;-2.1;2;1;2;23 %;27 %;50 %;Myscore.ru/match/QFy3omWR/
;Завершен;;;;;;;;;1;0;8.00;5.80;1.26;Winline.ru
 23.;12.05.12 16:00;Strommen IF;0;-1.11;Aalesund FK;0.67;0.48;-2.3;2;0;1;22 %;26 %;52 %;Myscore.ru/match/WvPrZYAH/
;Завершен;;;;;;;;;1;2;3.65;3.42;1.95;Winline.ru
 24.;12.05.12 16:30;Legia Warszawa;0.71;0.52;Pogon Szczecin;-0.47;-0.76;2.5;1;2;1;53 %;25 %;21 %;Myscore.ru/match/nXbp9TtF/
;Завершен;;;;;;;;;1;1;1.35;5.08;7.68;Winline.ru
 25.;12.05.12 16:30;SC Paderborn 07;1.5;0.88;Hamburger SV;0.44;-1.11;3.1;1;2;0;58 %;23 %;19 %;Myscore.ru/match/AVTNJZk7/
;Завершен;;;;;;;;;4;1;2.42;3.60;2.78;Winline.ru
 26.;12.05.12 16:30;FC Erzgebirge Aue;-0.13;0.22;SpVgg Greuther Furth;-1.13;-1.27;2.5;1;2;1;53 %;25 %;21 %;Myscore.ru/match/tdPJKFz1/
;Завершен;;;;;;;;;1;1;2.38;3.41;2.97;Winline.ru
 27.;12.05.12 16:30;1. FC Union Berlin;1.25;0.36;1. FC Magdeburg;-0.75;-0.9;3.3;1;2;0;60 %;22 %;18 %;Myscore.ru/match/lbpuScrR/
;Завершен;;;;;;;;;3;0;1.60;4.22;5.33;Winline.ru
 28.;12.05.12 16:30;1.FC Koln;1.56;0.64;SSV Jahn Regensburg;0.19;-0.46;2.5;1;3;2;53 %;25 %;21 %;Myscore.ru/match/4fGzVab8/
;Завершен;;;;;;;;;3;5;1.38;5.48;6.28;Winline.ru
 29.;12.05.12 16:30;Hatayspor;1.19;1.97;Giresunspor;-0.31;-0.35;3.8;1;2;0;64 %;21 %;15 %;Myscore.ru/match/SGkMpIAm/
;Завершен;;;;;;;;;1;0;1.28;4.77;7.89;Winline.ru
 30.;12.05.12 16:30;Denizlispor;0.94;1.54;Kardemir DC Karabukspor;-3.75;-2.63;8.9;1;4;0;82 %;13 %;5 %;Myscore.ru/match/8W8kjvmQ/
;Завершен;;;;;;;;;6;0;1.02;10.00;33.00;Winline.ru
 31.;12.05.12 16:30;Altinordu FK;0.75;0.44;Boluspor;-0.25;-0.59;2.0;1;2;1;49 %;27 %;24 %;Myscore.ru/match/MwkQqxQg/
;Завершен;;;;;;;;;3;0;1.54;4.13;4.81;Winline.ru
 32.;12.05.12 17:00;Brighton Hove Albion;-0.33;-0.6;Manchester City;1.33;1.11;-3.4;2;0;2;17 %;22 %;61 %;Myscore.ru/match/UFOgEYGu/
;Завершен;;;;;;;;;1;4;14.00;7.62;1.17;Winline.ru
 33.;12.05.12 17:00;Southampton FC;-0.17;-1.19;Huddersfield Town;-1.83;-1.65;2.1;1;2;1;50 %;27 %;23 %;Myscore.ru/match/4hJI8UpH/
;Завершен;;;;;;;;;1;1;1.39;4.82;7.15;Winline.ru
 34.;12.05.12 17:00;Vitoria de Guimaraes;0.69;-1.01;CF OS Belenenses;-0.25;-2.96;2.9;1;2;1;57 %;24 %;19 %;Myscore.ru/match/beKKIsCE/
;Завершен;;;;;;;;;5;1;1.43;4.61;6.70;Winline.ru
 35.;12.05.12 17:00;FK Panevezys;-1.25;-0.32;FK Palanga;-3.5;-1.27;3.2;1;3;1;59 %;23 %;18 %;Myscore.ru/match/UD7cQMlC/
;Завершен;;;;;;;;;2;1;1.77;3.65;4.14;Winline.ru
 36.;12.05.12 17:30;KF Partizani Tirana;1;0.97;KF Tirana;-0.27;0.13;2.1;1;2;1;50 %;27 %;23 %;Myscore.ru/match/Q9WYGsXl/
;Завершен;;;;;;;;;2;1;2.31;3.21;2.80;Winline.ru
 37.;12.05.12 17:30;Skenderbeu Korce;0.67;0.33;Teuta Durres;-0.4;-1.06;2.5;1;2;1;53 %;25 %;21 %;Myscore.ru/match/40VxG1ne/
;Завершен;;;;;;;;;1;2;-;-;-;
 38.;12.05.12 18:00;Lille Olympique SC;1.47;2.06;Girondins de Bordeaux;-0.65;-0.78;5.0;1;2;0;74 %;17 %;10 %;Myscore.ru/match/xIuVd6mm/
;Завершен;;;;;;;;;1;0;1.55;4.07;6.30;Winline.ru
 39.;12.05.12 18:00;FC Hradec Kralove;1.23;0.27;FK Usti nad Labem;-0.54;-0.01;2.1;1;2;1;50 %;27 %;23 %;Myscore.ru/match/WtWIEwv8/
;Завершен;;;;;;;;;2;0;1.68;3.67;4.73;Winline.ru
 40.;12.05.12 18:00;Zimbru Chisinau;-1;-0.59;Sheriff Tiraspol;2.5;1.27;-5.4;2;0;3;8 %;15 %;77 %;Myscore.ru/match/lInDdOOC/
;Завершен;;;;;;;;;0;4;12.00;6.01;1.16;Winline.ru
 41.;12.05.12 19:00;Molde FK;3;1.41;Mjondalen IF;-0.33;-0.49;5.2;1;3;0;75 %;16 %;9 %;Myscore.ru/match/bkZjtIms/
;Завершен;;;;;;;;;1;0;1.29;5.65;8.76;Winline.ru
 42.;12.05.12 19:00;Tromso IL;-1.5;-0.67;Odd Grenland BK;-0.5;0.7;-2.4;2;0;1;22 %;26 %;53 %;Myscore.ru/match/nB5YNzYC/
;Завершен;;;;;;;;;1;2;3.05;3.32;2.38;Winline.ru
 43.;12.05.12 19:00;Zenit Sankt Petersburg;1.62;1.22;CSKA Moskva;0.5;-0.15;2.5;1;2;1;53 %;25 %;21 %;Myscore.ru/match/ll57eyl2/
;Завершен;;;;;;;;;3;1;2.25;3.37;3.35;Winline.ru
 44.;12.05.12 19:00;JK Tallinna Kalev;-2;-1.84;JK Nomme Kalju;1.5;0.25;-5.6;2;0;3;7 %;14 %;79 %;Myscore.ru/match/02aYia5O/
;Завершен;;;;;;;;;0;1;24.00;9.46;1.06;Winline.ru
 45.;12.05.12 19:30;Valencia CF;0.56;0.83;Deportivo Alaves;-0.5;-0.6;2.5;1;2;1;53 %;25 %;21 %;Myscore.ru/match/WbL6oCQK/
;Завершен;;;;;;;;;3;1;1.25;5.85;10.00;Winline.ru
 46.;12.05.12 19:30;Atletico de Madrid;1.22;-0.14;Sevilla FC;-0.22;-0.82;2.1;1;2;1;50 %;27 %;23 %;Myscore.ru/match/lGu8QAle/
;Завершен;;;;;;;;;1;1;1.99;3.64;3.81;Winline.ru
 47.;12.05.12 19:30;CD Nacional Funchal;-0.38;-0.76;FC Porto;1.13;1.84;-4.1;2;0;2;14 %;20 %;66 %;Myscore.ru/match/ClLMctzk/
;Завершен;;;;;;;;;0;4;10.00;6.17;1.24;Winline.ru
 48.;12.05.12 21:00;CFR 1907 Cluj;0.82;1.97;Universitatea Craiova;0.47;-0.06;2.4;1;2;1;53 %;26 %;22 %;Myscore.ru/match/zeKSpPfU/
;Завершен;;;;;;;;;1;0;2.32;2.22;5.01;Winline.ru
 49.;12.05.12 21:00;NSI Runavik;1.5;1.29;AB Argir;-2;-1.86;6.7;1;4;1;82 %;13 %;5 %;Myscore.ru/match/drQxTcFG/
;Завершен;;;;;;;;;5;1;1.17;7.14;10.00;Winline.ru
 50.;12.05.12 22:00;Rio Ave FC;-0.06;0.74;SL Benfica Lisboa;1.56;3.14;-4.0;2;1;3;14 %;20 %;66 %;Myscore.ru/match/0A1HJNd8/
;Завершен;;;;;;;;;2;3;9.51;5.97;1.27;Winline.ru
 51.;13.05.13 02:00;Atlanta United;0.4;1.34;Orlando City;0;-0.6;2.3;1;2;1;52 %;26 %;22 %;Myscore.ru/match/Wz54Dl0f/
;;;;;;;;;;;;2.23;3.67;3.03;Winline.ru
