1;11.05;Hannover 96;-0.88;-0.43;SC Freiburg;-1.06;-1.23;1.0;10;2;2;41 %;31 %;28 %
2;11.05;Bayer 04 Leverkusen;0.44;2.09;FC Schalke 04;-0.38;0.11;2.8;1;2;1;56 %;24 %;20 %
3;11.05;1. FC Nurnberg;-0.13;-0.45;Borussia M.gladbach;0;-0.3;-0.3;02;1;1;32 %;33 %;35 %
4;11.05;RB Leipzig;1.56;1.18;FC Bayern Munchen;1.31;1.16;0.3;10;2;2;35 %;33 %;32 %
5;11.05;FC Augsburg;0.13;-0.15;Hertha BSC Berlin;-0.5;-0.71;1.2;10;2;1;43 %;30 %;27 %
6;11.05;VfB Stuttgart 1893;-0.5;-1.78;VfL Wolfsburg;0.13;0.85;-3.3;2;1;3;18 %;22 %;60 %
7;11.05;Borussia Dortmund;1.63;0.11;Fortuna Dusseldorf;-0.88;0.39;2.2;1;3;2;51 %;26 %;23 %
8;11.05;TSG 1899 Hoffenheim;0.56;0.71;Werder Bremen;-0.06;-0.34;1.7;1;2;1;47 %;28 %;25 %
9;11.05;Amiens SC;-0.18;0.02;Toulouse FC;-0.88;-0.31;1.0;10;1;0;41 %;31 %;28 %
10;11.05;Dijon Football Cote d Or;-0.76;-0.88;Racing Club Strasbourg;0.24;-0.37;-1.5;02;1;2;26 %;29 %;45 %
11;11.05;Angers SC l Ouest;0.18;0.29;Paris Saint - Germain;1.06;-0.19;-0.4;02;1;1;31 %;33 %;36 %
12;11.05;OGC Nice;0.18;0.97;FC Nantes Atlantique;-0.65;1.11;0.7;10;1;1;39 %;32 %;30 %
13;11.05;Nimes Olympique;0.59;0.23;AS Monaco;-0.35;-0.26;1.4;10;2;1;44 %;29 %;26 %
14;11.05;Stade Malherbe Caen;-0.65;-0.17;Stade de Reims;-0.35;-1.62;1.2;10;1;0;43 %;30 %;27 %
15;11.05;Cagliari Calcio;0.29;-0.3;SS Lazio Roma;0;-0.55;0.5;10;1;1;37 %;32 %;31 %
16;11.05;ACF Fiorentina;0.41;-0.74;AC Milano;0.18;-0.22;-0.3;02;1;1;32 %;33 %;35 %
17;11.05;Atalanta Bergamo;0.82;1.4;Genoa CFC;-0.94;-0.42;3.6;1;2;0;62 %;21 %;16 %
18;11.05;CSKA Sofia;1.75;0.92;Ludogorets Razgrad;1.06;1.17;0.4;10;1;1;36 %;33 %;31 %
19;11.05;Botev Plovdiv;0.88;-0.23;Beroe Stara Zagora;-0.5;1.13;0.0;02;1;1;33 %;34 %;33 %
20;11.05;Neuchatel Xamax;-0.44;0.85;FC Zurich;-0.81;-1.12;2.3;1;2;1;52 %;26 %;22 %
21;11.05;FC Thun;0.19;-1.83;AC Lugano;0.06;1.22;-2.9;2;1;2;19 %;24 %;57 %
22;11.05;AC Sparta Praha;1.25;1.35;FC Slovan Liberec;-0.33;0.55;2.4;1;2;1;53 %;26 %;22 %
23;11.05;FK Jablonec 97;1.33;0.73;FC Banik Ostrava;-0.56;-0.83;3.5;1;2;0;62 %;22 %;17 %
24;11.05;KPV Kokkola;-2.33;-1.62;FC Lahti;0;0.09;-4.0;2;0;2;14 %;20 %;66 %
25;11.05;HJK Helsinki;0.5;-0.17;Seinajoen;0.33;0.01;0.0;02;1;1;33 %;34 %;33 %
