 1.;11.05.11 15:00;KPV Kokkola;-2.33;-1.62;FC Lahti;0;0.09;-4.0;2;0;2;14 %;20 %;66 %;Myscore.ru/match/SSctCzhB/
;Завершен;;;;;;;;;0;0;2.69;2.84;2.80;Winline.ru
 2.;11.05.11 16:00;Atalanta Bergamo;0.82;1.4;Genoa CFC;-0.94;-0.42;3.6;1;2;0;62 %;21 %;16 %;Myscore.ru/match/jmbSVuSk/
;Завершен;;;;;;;;;2;1;1.63;3.83;5.76;Winline.ru
 3.;11.05.11 16:00;Pescara Calcio;0.53;-0.26;Salernitana Calcio;-0.88;-1.73;2.9;1;2;1;57 %;24 %;19 %;Myscore.ru/match/xUFJq8gD/
;Завершен;;;;;;;;;2;0;2.35;3.16;3.25;Winline.ru
 4.;11.05.11 16:30;Bayer 04 Leverkusen;0.44;2.09;FC Schalke 04;-0.38;0.11;2.8;1;2;1;56 %;24 %;20 %;Myscore.ru/match/2aVcK2ne/
;Завершен;;;;;;;;;1;1;1.32;5.63;7.46;Winline.ru
 5.;11.05.11 16:30;VfB Stuttgart 1893;-0.5;-1.78;VfL Wolfsburg;0.13;0.85;-3.3;2;1;3;18 %;22 %;60 %;Myscore.ru/match/zDT5ItH7/
;Завершен;;;;;;;;;3;0;2.97;3.71;2.25;Winline.ru
 6.;11.05.11 16:30;Borussia Dortmund;1.63;0.11;Fortuna Dusseldorf;-0.88;0.39;2.2;1;3;2;51 %;26 %;23 %;Myscore.ru/match/jPRgLrXl/
;Завершен;;;;;;;;;3;2;1.35;5.48;6.91;Winline.ru
 7.;11.05.11 17:30;CD Santa Clara;-0.13;0.52;CD Feirense;-1.56;-1.3;3.3;1;2;0;60 %;22 %;18 %;Myscore.ru/match/t6Uj32CR/
;Завершен;;;;;;;;;4;4;1.81;3.64;4.50;Winline.ru
 8.;11.05.11 18:00;Budapest Honved;0.56;0.48;Diosgyori VTK;-1.56;-0.35;3.0;1;2;1;58 %;24 %;19 %;Myscore.ru/match/zJMIHwji/
;Завершен;;;;;;;;;4;4;1.85;3.52;3.92;Winline.ru
 9.;11.05.11 18:00;Ujpest FC;0.81;0.19;Puskas AFC;-1;-0.43;2.4;1;2;1;53 %;26 %;22 %;Myscore.ru/match/n3TzgfDj/
;Завершен;;;;;;;;;0;1;1.77;3.40;4.52;Winline.ru
 10.;11.05.11 18:00;Mezokovesdi Zsory;0.8;0.46;Szombathelyi Haladas;-1.06;0.23;2.1;1;2;1;50 %;27 %;23 %;Myscore.ru/match/dYARFHK3/
;Завершен;;;;;;;;;1;0;3.12;3.46;2.12;Winline.ru
 11.;11.05.11 18:00;FK Tuzla City;-0.43;0.12;FK Sarajevo;1.43;1.38;-3.1;2;0;2;19 %;23 %;58 %;Myscore.ru/match/W0KtOa3J/
;Завершен;;;;;;;;;1;0;5.03;3.59;1.66;Winline.ru
 12.;11.05.11 18:00;FK Mladost Doboj Kakanj;-0.4;-0.63;NK Siroki Brijeg;0.07;1.32;-2.4;2;0;1;22 %;26 %;53 %;Myscore.ru/match/tzAGHctm/
;Завершен;;;;;;;;;1;0;2.91;2.92;2.54;Winline.ru
 13.;11.05.11 18:00;Zvijezda 09;0.07;0.41;GOSK Gabela;-1.13;-1.48;3.1;1;2;0;58 %;23 %;19 %;Myscore.ru/match/p4OpNJIP/
;Завершен;;;;;;;;;2;1;-;-;-;
 14.;11.05.11 18:30;FK Jablonec 97;1.33;0.73;FC Banik Ostrava;-0.56;-0.83;3.5;1;2;0;62 %;22 %;17 %;Myscore.ru/match/6DLt6Ref/
;Завершен;;;;;;;;;2;0;1.36;4.48;7.32;Winline.ru
 15.;11.05.11 20:00;Neuchatel Xamax;-0.44;0.85;FC Zurich;-0.81;-1.12;2.3;1;2;1;52 %;26 %;22 %;Myscore.ru/match/888Ov0pC/
;Завершен;;;;;;;;;1;2;2.20;3.66;3.09;Winline.ru
 16.;11.05.11 20:00;FC Thun;0.19;-1.83;AC Lugano;0.06;1.22;-2.9;2;1;2;19 %;24 %;57 %;Myscore.ru/match/SOR61NiP/
;Завершен;;;;;;;;;1;0;2.99;3.46;2.35;Winline.ru
 17.;11.05.11 21:00;AC Sparta Praha;1.25;1.35;FC Slovan Liberec;-0.33;0.55;2.4;1;2;1;53 %;26 %;22 %;Myscore.ru/match/zmQp5oB0/
;Завершен;;;;;;;;;1;0;1.77;3.41;4.50;Winline.ru
 18.;11.05.11 21:00;FC Dallas;0.8;0.24;Red Bull New York;-0.5;-0.53;2.1;1;2;1;50 %;27 %;23 %;Myscore.ru/match/WMPVbko1/
;Завершен;;;;;;;;;1;3;1.82;3.84;4.18;Winline.ru
 19.;11.05.11 22:30;Sporting CP Lisboa;1.56;3.08;CD Tondela;-0.75;-1.18;6.6;1;3;0;82 %;13 %;5 %;Myscore.ru/match/juKQd0ke/
;Завершен;;;;;;;;;1;1;1.26;6.17;9.42;Winline.ru
