 1.;13.05.13 02:00;Washington DC United;0.5;0.02;Kansas City Wizards;-1;-1.75;3.3;1;2;0;60 %;22 %;18 %;Myscore.ru/match/Wz54Dl0f/
;Завершен;;;;;;;;;1;0;2.07;3.72;3.35;Winline.ru
 2.;13.05.13 02:00;River Plate Asuncion;-0.1;-0.17;Olimpia Asuncion;2.5;2.04;-4.8;2;1;3;11 %;17 %;72 %;Myscore.ru/match/zwDXnIoT/
;Перенесен;;;;;;;;;;;5.02;4.17;1.51;Winline.ru
 3.;13.05.13 20:00;Besiktas J.K.;0.93;1.6;Alanyaspor;-1;-0.54;4.1;1;3;1;66 %;20 %;14 %;Myscore.ru/match/6q4tQJh6/
;;;;;;;;;;;;1.54;4.50;5.62;Winline.ru
 4.;13.05.13 20:00;Skala;0.5;0.25;KI Klaksvik;2;2.6;-3.9;2;1;3;15 %;20 %;65 %;Myscore.ru/match/joNUUJp4/
;;;;;;;;;;;;3.24;3.87;1.95;Winline.ru
 5.;13.05.13 20:30;Viitorul Constanta;0.29;0.81;Astra Giurgiu;0.18;-1.05;2.0;1;1;0;49 %;27 %;24 %;Myscore.ru/match/0IoZ58Qu/
;;;;;;;;;;;;1.58;3.73;5.54;Winline.ru
 6.;13.05.13 20:30;Hapoel Eran Hadera;-0.47;-0.33;Maccabi Haifa;0.44;0.81;-2.1;2;1;2;23 %;27 %;50 %;Myscore.ru/match/pA1Db90K/
;;;;;;;;;;;;6.40;4.22;1.43;Winline.ru
 7.;13.05.13 22:00;Inter Milano;0.82;0.61;AC Chievo Verona;-1.47;-1.68;4.6;1;2;0;71 %;18 %;12 %;Myscore.ru/match/WbofllrH/
;;;;;;;;;;;;1.14;7.99;17.00;Winline.ru
